die Anrede ;forma zwracania się do kogoś
anrufen ;dzwonić
der Anruf ;rozmowa telefoniczna
der Anrufbeantworter ;automatyczna sekretarka
die Ansage;ogłoszenie
Schreiben Sie auch eine Anrede und einen Gruß.;Napisz także powitanie i pozdrowienie.
Kann man Sie anrufen?;Czy można do Pana/Pani zadzwonić?
Sie bekommt viele Anrufe auf ihrem Handy.;Ona dostaje wiele telefonów na swoim telefonie komórkowym.
Wir sind im Moment nicht da. Sprechen Sie bitte auf den Anrufbeantworter.;W tej chwili nas nie ma. Proszę zostawić wiadomość na automatycznej sekretarce.
Hören Sie die Ansagen.;Słuchaj pan ogłoszeń.
