die Sekunde;Sekunda
die Sekunden;Sekundy
die Minute;Minuta
die Minuten;Minuty
die Stunde;Godzina
die Stunden;Godziny
der Tag;Dzień
die Tage;Dni
die Woche;Tydzień
die Wochen;Tygodnie
das Jahr;Rok
die Jahre;Lata
der Wochentag;Dzień tygodnia
die Wochentage;Dni tygodnia
der Sonntag;Niedziela
die Sonntage;Niedziele
der Montag;Poniedziałek
die Montage;Poniedziałki
der Dienstag;Wtorek
die Dienstage;Wtorki
der Mittwoch;Środa
die Mittwoche;Środy
der Donnerstag;Czwartek
die Donnerstage;Czwartki
der Freitag;Piątek
die Freitage;Piątki
der Samstag;Sobota
die Samstage;Soboty
der Sonnabend;Sobota (synonim)
die Sonnabende;Soboty (synonim)
das Wochenende;Weekend
die Wochenenden;Weekendy
die Woche;Tydzień
die Wochen;Tygodnie
der Januar;Styczeń
die Januare;Stycznie
der Februar;Luty
die Februare;Lutego
der März;Marzec
die Märze;Marca
der April;Kwiecień
die Aprile;Kwietnia
der Mai;Maj
die Maie;Maja
der Juni;Czerwiec
die Junis;Czerwca
der Juli;Lipiec
die Julis;Lipca
der August;Sierpień
die Auguste;Sierpnia
der September;Wrzesień
die Septembere;Września
der Oktober;Październik
die Oktoberg;Października
der November;Listopad
die Novembere;Listopada
der Dezember;Grudzień
die Dezembere;Grudnia
Monat;Miesiąc
die Monate;Miesiące
Monatsnamen;Nazwy miesięcy
die Frühlinge;Wiosny
das Frühjahr;Wiosna (synonim)
die Sommer;Lata
der Herbst;Jesień
die Winter;Zimy
