Ich nehme meinen Regenschirm.;Biorę swój parasol.
Gestern nahm er das Buch aus der Bibliothek.;Wczoraj wziął książkę z biblioteki.
Sie hat bereits das Geld genommen.;Ona już wzięła pieniądze.
Ich nenne dich meinen besten Freund.;Nazywam cię moim najlepszym przyjacielem.
Gestern nannte er die Gewinner des Wettbewerbs.;Wczoraj podał nazwiska zwycięzców konkursu.
Sie hat das Kind nach ihrer Großmutter genannt.;Ona nazwała dziecko imieniem swojej babci.
Ich pfeife ein fröhliches Lied.;Śpiewam wesołą piosenkę.
Gestern pfiff er auf dem Weg zur Arbeit.;Wczoraj gwizdał w drodze do pracy.
Sie hat die Melodie gepfiffen.;Ona gwizdała tę melodię.
Ich rate dir, vorsichtig zu sein.;Radzę ci być ostrożnym.
Gestern riet sie ihm, den Arzt aufzusuchen.;Wczoraj doradziła mu, żeby pójść do lekarza.
Sie hat immer gute Ratschläge gegeben.;Ona zawsze dawała dobre rady.
Das Papier reißt leicht.;Papier łatwo się rwało.
Gestern riss er das Poster ab.;Wczoraj zerwał plakat.
Sie hat den Stoff versehentlich gerissen.;Ona przypadkowo rozerwała materiał.
Ich reite gern Pferde.;Chętnie jeżdżę konno.
Gestern ritt er im Wald.;Wczoraj jeździł na koniu w lesie.
Sie ist schon oft geritten.;Ona już wiele razy jeździła konno.
Ich renne, um den Bus zu erwischen.;Biegnę, żeby zdążyć na autobus.
Gestern rannte er im Park.;Wczoraj biegł w parku.
Sie sind ein Rennen gelaufen.;Oni wzięli udział w wyścigu.
