Die beiden Unternehmen verschmelzen.;Obie firmy się łączą.
Gestern verschmolz sie die alten Erinnerungen.;Wczoraj łączyła stare wspomnienia.
Sie haben ihre Kräfte verschmolzen.;Połączyli swoje siły.
Ich verspreche dir, ich komme pünktlich.;Obiecuję ci, że będę na czas.
Gestern versprach er, das Problem zu lösen.;Wczoraj obiecał rozwiązanie problemu.
Sie haben viele Versprechungen gemacht.;Obiecali wiele rzeczy.
Ich verzeihe dir für deinen Fehler.;Wybaczam ci za twój błąd.
Gestern verzieh sie ihm seinen Fehltritt.;Wczoraj wybaczyła mu jego wpadkę.
Sie haben sich gegenseitig verziehen.;Wybaczyli sobie nawzajem.
Die Pflanzen wachsen im Garten.;Rośliny rosną w ogrodzie.
Gestern wuchs er um einige Zentimeter.;Wczoraj wydłużył się o kilka centymetrów.
Sie haben in diesem Jahr viel gewachsen.;W tym roku wiele urosło.
Ich wasche meine Hände.;Myję ręce.
Gestern wusch sie die Wäsche.;Wczoraj prała ubrania.
Sie haben das Geschirr sorgfältig gewaschen.;Starannie umyli naczynia.
Ich werfe den Müll weg.;Wyrzucam śmieci.
Gestern warf er alte Zeitschriften weg.;Wczoraj wyrzucił stare czasopisma.
Sie haben Unnötiges weggeworfen.;Wyrzucili zbędne rzeczy.
Ich wende das Blatt.;Odwracam kartkę.
Gestern wandte sie sich von ihm ab.;Wczoraj odwróciła się od niego.
Sie haben das Auto geschickt gewandt.;Sprawnie zawrócili samochód.
