Wir werben für unsere Produkte.;Reklamujemy nasze produkty.
Gestern warb er um neue Kunden.;Wczoraj starał się pozyskać nowych klientów.
Sie haben geschickt für ihre Sache geworben.;Sprytnie reklamowali swoją sprawę.
Ich werde Arzt.;Będę lekarzem.
Gestern wurde sie zur Managerin befördert.;Wczoraj awansowano ją na stanowisko menedżera.
Sie sind eine erfahrene Fachkraft geworden.;Stali się doświadczonym specjalistą.
Ich werfe den Ball.;Rzucam piłkę.
Gestern warf er den Brief in den Briefkasten.;Wczoraj wrzucił list do skrzynki pocztowej.
Sie haben den Stein weit geworfen.;Rzucili kamień daleko.
Das Baby wiegt 3 Kilogramm.;Niemowlę waży 3 kilogramy.
Gestern wog er sich auf der Waage.;Wczoraj zważył się na wadze.
Sie haben das Fleisch genau gewogen.;Dokładnie odważyli mięso.
Ich weiß die Antwort.;Wiem odpowiedź.
Gestern wusste sie nicht, was sie tun sollte.;Wczoraj nie wiedziała, co powinna zrobić.
Sie haben viel Wissen angehäuft.;Nagromadzili dużo wiedzy.
Ich will eine Reise machen.;Chcę odbyć podróż.
Gestern wollte er ein Buch lesen.;Wczoraj chciał przeczytać książkę.
Sie haben viel erreichen wollen.;Chcieli osiągnąć wiele.
Ich ziehe an meinem Pullover.;Ciągnę swój sweter.
Gestern zog er in eine neue Wohnung.;Wczoraj przeprowadził się do nowego mieszkania.
Sie haben die Vorhänge zugezogen.;Zaciągnęli zasłony.
Ich zwinge niemanden, das zu tun.;Nie zmuszam nikogo, żeby to robił.
Gestern zwang er sich, Sport zu treiben.;Wczoraj zmusił się do uprawiania sportu.
Sie haben ihn, die Wahrheit zu sagen, gezwungen.;Zmusili go, żeby powiedział prawdę.
