1;eins
2;zwei
3;drei
4;vier
5;fünf
6;sechs
7;sieben
8;acht
9;neun
10;zehn
11;elf
12;zwölf
13;dreizehn
14;vierzehn
15;fünfzehn
16;sechzehn
17;siebzehn
18;achtzehn
19;neunzehn
20;zwanzig
21;einundzwanzig
30;dreißig
40;vierzig
50;fünfzig
60;sechzig
70;siebzig
80;achtzig
90;neunzig
100;(ein)hundert
101;hunderteins
200;zweihundert
1.000;(ein)tausend
1.000.000;eine Million, =en
1.000.000.000;eine Milliarde, =en
pierwszy, pierwsza, pierwsze;der, die, das erste
drugi, druga, drugie;der, die, das, zweite
trzeci, trzecia, trzecie;der, die, das, dritte
czwarty, czwarta, czwarte;der, die, das, vierte
1/2;ein halb; halb
1/4;ein Viertel; Viertel .
1999;neunzehnhundertneunundneunzig
2014;zweitausendvierzehn
0.03 Uhr;null Uhr drei
7.15 Uhr;sieben Uhr fünfzehn
13.17 Uhr;dreizehn Uhr siebzehn
24.00 Uhr;vierundzwanzig Uhr
godzina Pierwsza;ein Uhr
pięć minut przed/po pierwszej;fünf Minuten vor/nach eins (ein Uhr)
kwadrans przed/po drugiej;Viertel vor/nach zwei (zwei Uhr)
w poł do trzeciej;halb drei
