die Person;Osoba
die Personen;Osoby
der Name;Imię
die Namen;Imiona
die Adresse;Adres
die Adressen;Adresy
das Telefon;Telefon
die Telefone;Telefony
das Geburtsdatum;Data urodzenia
die Geburtsdaten;Daty urodzenia
der Geburtsort;Miejsce urodzenia
die Geburtsorte;Miejsca urodzenia
das Alter;Wiek
die Alter;Wieki
das Thema;Temat
die Themen;Tematy
zusammengestellt;Zestawiony
die zusammengestellten;Zestawione
der Haushalt;Gospodarstwo domowe
die Haushalte;Gospodarstwa domowe
die technische Einrichtung;Techniczne urządzenie
die technischen Einrichtungen;Techniczne urządzenia
die Miete;Wynajem
die Mieten;Wynajmy
das Mietverhältnis;Umowa najmu
die Mietverhältnisse;Umowy najmu
der Wohnungswechsel;Zmiana mieszkania
die Wohnungswechsel;Zmiany mieszkania
das Wohnen;Mieszkanie
die Wohnungen;Mieszkania
die Wohnung;Mieszkanie
die Wohnungen;Mieszkania
der Raum;Pomieszczenie
die Räume;Pomieszczenia
die Einrichtung;Wyposażenie
die Einrichtungen;Wyposażenia
das Möbel;Meble
die Möbel;Meble
die Umwelt;Środowisko
die Umwelt;Środowiska
die Pflanze;Roślina
die Pflanzen;Rosliny
das Tier;Zwierzę
die Tiere;Zwierzęta
das Klima;Klimat
die Klimas;Klimaty
das Wetter;Pogoda
die Wetter;Pogody
die Reise;Podróż
die Reisen;Podróże
der Verkehr;Ruch
die Verkehrs;Ruchy
die Unterkunft;Zakwaterowanie
die Unterkünfte;Zakwaterowania
das Gepäck;Bagaż
die Gepäcke;Bagaże
das Essen;Jedzenie
die Essen;Jedzenie
das Trinken;Picie
die Trinken;Picie
das Nahrungsmittel;Artykuł spożywczy
die Nahrungsmittel;Artykuły spożywcze
die Mahlzeit;Posiłek
die Mahlzeiten;Posiłki
die Speise;Danie
die Speisen;Dania
das Getränk;Napój
die Getränke;Napoje
das Lokal (Restaurant;Café),Lokal (restauracja, kawiarnia)
die Lokale (Restaurants;Cafés),Lokale (restauracje, kawiarnie)
das Einkaufen;Zakupy
die Einkaufen;Zakupy
der Gebrauchsartikel;Artykuł użytkowy
die Gebrauchsartikel;Artykuły użytkowe
das Geschäft;Sklep
die Geschäfte;Sklepy
der Preis;Cena
die Preise;Ceny
das Bezahlen;Płatność
die Bezahlen;Płatności
das Lebensmittel;Artykuł spożywczy
die Lebensmittel;Artykuły spożywcze
die Kleidung;Ubranie
die Kleidung;Ubrania
die Dienstleistung;Usługa
die Dienstleistungen;Usługi
die Post;Poczta
die Posty;Poczty
die Telekommunikation;Telekomunikacja
die Telekommunikation;Telekomunikacje
die Bank;Bank
die Banken;Banki
die Polizei;Policja
die Polizei;Policja
die Erziehung;Wychowanie
die Erziehungen;Wychowania
die Ausbildung;Edukacja
die Ausbildungen;Edukacje
das Lernen;Uczenie się
die Lernen;Uczenie się
die Kinderbetreuung;Pielegnacja dzieci
die Kinderbetreuungen;Pielegnacje dzieci
die Schule;Szkoła
die Schulen;Szkoły
das Sprachenlernen;Uczenie się języków
die Sprachenlernen;Uczenie się języków
die Arbeit;Praca
die Arbeiten;Prace
der Beruf;Zawód
die Berufe;Zawody
der Arbeitsplatz;Miejsce pracy
die Arbeitsplätze;Miejsca pracy
der Urlaub;Wakacje
die Urlaube;Wakacje
die Freizeit;Wolny czas
die Freizeiten;Wolny czas
die Unterhaltung;Rozrywka
die Unterhaltungen;Rozrywki
das Interesse;Zainteresowanie
die Interessen;Zainteresowania
die Sport treiben;Uprawiać sport
die Sport treiben;Uprawiać sport
das Radio;Radio
die Radios;Radia
das Fernsehen;Telewizja
die Fernsehen;Telewizje
das Internet;Internet
die Internet;Internet
die Lektüre;Lektura
die Lektüren;Lektury
die Presse;Prasa
die Pressen;Prasy
